team_short_display_name,Capricorn,Pisces,Taurus,Gemini,Cancer,Leo,Virgo,Libra,Scorpio,Sagittarius,Aquarius,Aries
76ers,1,2,1,1,6,2,1,3,1,1,NA,NA
Bucks,1,1,2,2,1,3,1,NA,1,2,3,3
Bulls,NA,1,2,1,3,2,2,1,2,NA,1,2
Cavaliers,2,NA,4,1,2,2,2,1,1,NA,3,2
Celtics,1,4,3,1,1,1,NA,1,3,3,1,1
Clippers,NA,3,2,1,3,2,3,2,1,1,NA,1
Grizzlies,2,1,2,1,1,1,2,1,3,NA,1,2
Hawks,NA,3,1,NA,NA,3,5,2,2,2,NA,NA
Heat,NA,NA,6,2,2,2,2,NA,NA,1,2,2
Hornets,NA,2,NA,NA,NA,2,3,3,NA,1,3,2
Jazz,NA,1,1,5,2,2,2,3,NA,NA,NA,2
Kings,NA,1,5,3,1,2,1,1,NA,2,2,3
Knicks,1,3,NA,2,2,2,1,1,1,1,1,2
Lakers,1,3,NA,NA,2,2,3,2,1,1,3,NA
Magic,1,NA,3,1,NA,1,4,2,4,NA,3,NA
Mavericks,NA,2,1,2,2,2,2,1,2,1,2,NA
Nets,NA,2,3,NA,1,2,4,2,NA,1,1,5
Nuggets,3,3,1,NA,1,1,2,1,3,NA,2,1
Pacers,2,1,2,2,1,2,2,1,NA,1,1,3
Pelicans,NA,2,NA,1,5,NA,2,NA,2,2,1,1
Pistons,1,3,2,2,1,4,NA,2,NA,2,2,2
Raptors,2,1,3,5,2,1,1,3,NA,1,NA,2
Rockets,2,1,3,1,1,1,3,1,2,1,5,1
Spurs,2,NA,NA,NA,1,3,3,1,1,NA,3,NA
Suns,NA,3,1,NA,3,2,2,1,1,2,NA,1
Thunder,1,NA,3,2,3,2,NA,2,NA,1,2,3
Timberwolves,1,3,NA,1,1,1,2,3,1,1,NA,2
Trail Blazers,1,NA,1,4,1,NA,2,1,NA,2,1,NA
Warriors,1,4,NA,2,1,3,NA,1,1,NA,1,2
Wizards,2,1,3,1,2,1,NA,2,3,1,1,1
